year,from_country,to_country,points
2017,Switzerland,Germany,3
2017,Switzerland,Spain,0
2018,Switzerland,Israel,6
2018,Switzerland,Cyprus,10
2018,Switzerland,Austria,8
2018,Switzerland,Germany,18
2018,Switzerland,Italy,8
2018,Switzerland,Czech Republic,0
2018,Switzerland,Sweden,5
2018,Switzerland,Estonia,10
2018,Switzerland,Denmark,2
2018,Switzerland,Moldova,0
2018,Switzerland,Albania,7
2018,Switzerland,Lithuania,8
2018,Switzerland,France,0
2018,Switzerland,Bulgaria,2
2018,Switzerland,Norway,0
2018,Switzerland,Republic of Ireland,6
2018,Switzerland,Ukraine,0
2018,Switzerland,Netherlands,0
2018,Switzerland,Serbia,12
2018,Switzerland,Australia,0
2018,Switzerland,Hungary,0
2018,Switzerland,Slovenia,0
2018,Switzerland,Spain,1
2018,Switzerland,United Kingdom,0
2018,Switzerland,Finland,0
2018,Switzerland,Portugal,13
2019,Switzerland,Netherlands,16
2019,Switzerland,Italy,17
2019,Switzerland,Russia,3
2019,Switzerland,Switzerland,0
2019,Switzerland,Sweden,12
2019,Switzerland,Norway,15
2019,Switzerland,North Macedonia,14
2019,Switzerland,Azerbaijan,0
2019,Switzerland,Australia,4
2019,Switzerland,Iceland,0
2019,Switzerland,Czech Republic,0
2019,Switzerland,Denmark,1
2019,Switzerland,Cyprus,0
2019,Switzerland,Malta,0
2019,Switzerland,Slovenia,0
2019,Switzerland,France,5
2019,Switzerland,Albania,10
2019,Switzerland,Serbia,7
2019,Switzerland,San Marino,0
2019,Switzerland,Estonia,0
2019,Switzerland,Greece,0
2019,Switzerland,Spain,5
2019,Switzerland,Israel,0
2019,Switzerland,Belarus,0
2019,Switzerland,Germany,6
2019,Switzerland,United Kingdom,1
2021,Switzerland,Italy,18
2021,Switzerland,France,18
2021,Switzerland,Switzerland,0
2021,Switzerland,Iceland,10
2021,Switzerland,Ukraine,2
2021,Switzerland,Finland,5
2021,Switzerland,Malta,6
2021,Switzerland,Lithuania,5
2021,Switzerland,Russia,3
2021,Switzerland,Greece,0
2021,Switzerland,Bulgaria,10
2021,Switzerland,Portugal,15
2021,Switzerland,Moldova,0
2021,Switzerland,Sweden,3
2021,Switzerland,Serbia,12
2021,Switzerland,Cyprus,0
2021,Switzerland,Israel,0
2021,Switzerland,Norway,0
2021,Switzerland,Belgium,0
2021,Switzerland,Azerbaijan,2
2021,Switzerland,Albania,7
2021,Switzerland,San Marino,0
2021,Switzerland,Netherlands,0
2021,Switzerland,Spain,0
2021,Switzerland,Germany,0
2021,Switzerland,United Kingdom,0
2022,Switzerland,Ukraine,13
2022,Switzerland,United Kingdom,11
2022,Switzerland,Spain,14
2022,Switzerland,Sweden,10
2022,Switzerland,Serbia,12
2022,Switzerland,Italy,10
2022,Switzerland,Moldova,4
2022,Switzerland,Greece,12
2022,Switzerland,Portugal,12
2022,Switzerland,Norway,1
2022,Switzerland,Netherlands,10
2022,Switzerland,Poland,1
2022,Switzerland,Estonia,0
2022,Switzerland,Lithuania,0
2022,Switzerland,Australia,4
2022,Switzerland,Azerbaijan,0
2022,Switzerland,Switzerland,0
2022,Switzerland,Romania,0
2022,Switzerland,Belgium,0
2022,Switzerland,Armenia,0
2022,Switzerland,Finland,0
2022,Switzerland,Czech Republic,0
2022,Switzerland,Iceland,0
2022,Switzerland,France,0
2022,Switzerland,Germany,2
2023,Switzerland,Sweden,11
2023,Switzerland,Finland,8
2023,Switzerland,Israel,4
2023,Switzerland,Italy,18
2023,Switzerland,Norway,6
2023,Switzerland,Ukraine,0
2023,Switzerland,Belgium,0
2023,Switzerland,Estonia,10
2023,Switzerland,Australia,2
2023,Switzerland,Czech Republic,12
2023,Switzerland,Lithuania,0
2023,Switzerland,Cyprus,0
2023,Switzerland,Croatia,6
2023,Switzerland,Armenia,5
2023,Switzerland,Austria,7
2023,Switzerland,France,0
2023,Switzerland,Spain,3
2023,Switzerland,Moldova,0
2023,Switzerland,Poland,0
2023,Switzerland,Switzerland,0
2023,Switzerland,Slovenia,0
2023,Switzerland,Albania,12
2023,Switzerland,Portugal,7
2023,Switzerland,Serbia,1
2023,Switzerland,United Kingdom,0
2023,Switzerland,Germany,4
2009,Cyprus,Norway,10
2009,Cyprus,Iceland,5
2009,Cyprus,Azerbaijan,8
2009,Cyprus,Turkey,0
2009,Cyprus,United Kingdom,7
2009,Cyprus,Estonia,3
2009,Cyprus,Greece,12
2009,Cyprus,France,0
2009,Cyprus,Bosnia and Herzegovina,0
2009,Cyprus,Armenia,4
2009,Cyprus,Russia,1
2009,Cyprus,Ukraine,0
2009,Cyprus,Denmark,6
2009,Cyprus,Moldova,0
2009,Cyprus,Portugal,0
2009,Cyprus,Israel,0
2009,Cyprus,Albania,0
2009,Cyprus,Croatia,0
2009,Cyprus,Romania,2
2009,Cyprus,Germany,0
2009,Cyprus,Sweden,0
2009,Cyprus,Malta,0
2009,Cyprus,Lithuania,0
2009,Cyprus,Spain,0
2009,Cyprus,Finland,0
2010,Cyprus,Germany,4
2010,Cyprus,Turkey,0
2010,Cyprus,Romania,8
2010,Cyprus,Denmark,0
2010,Cyprus,Azerbaijan,10
2010,Cyprus,Belgium,0
2010,Cyprus,Armenia,7
2010,Cyprus,Greece,12
2010,Cyprus,Georgia,5
2010,Cyprus,Ukraine,6
2010,Cyprus,Russia,0
2010,Cyprus,France,3
2010,Cyprus,Serbia,1
2010,Cyprus,Israel,2
2010,Cyprus,Spain,0
2010,Cyprus,Albania,0
2010,Cyprus,Bosnia and Herzegovina,0
2010,Cyprus,Portugal,0
2010,Cyprus,Iceland,0
2010,Cyprus,Norway,0
2010,Cyprus,Cyprus,0
2010,Cyprus,Moldova,0
2010,Cyprus,Republic of Ireland,0
2010,Cyprus,Belarus,0
2010,Cyprus,United Kingdom,0
2011,Cyprus,Azerbaijan,8
2011,Cyprus,Italy,1
2011,Cyprus,Sweden,10
2011,Cyprus,Ukraine,5
2011,Cyprus,Denmark,3
2011,Cyprus,Bosnia and Herzegovina,0
2011,Cyprus,Greece,12
2011,Cyprus,Republic of Ireland,0
2011,Cyprus,Georgia,0
2011,Cyprus,Germany,0
2011,Cyprus,United Kingdom,4
2011,Cyprus,Moldova,0
2011,Cyprus,Slovenia,6
2011,Cyprus,Serbia,0
2011,Cyprus,France,7
2011,Cyprus,Russia,2
2011,Cyprus,Romania,0
2011,Cyprus,Austria,0
2011,Cyprus,Lithuania,0
2011,Cyprus,Iceland,0
2011,Cyprus,Finland,0
2011,Cyprus,Hungary,0
2011,Cyprus,Spain,0
2011,Cyprus,Estonia,0
2011,Cyprus,Switzerland,0
2012,Cyprus,Sweden,10
2012,Cyprus,Russia,5
2012,Cyprus,Serbia,7
2012,Cyprus,Azerbaijan,8
2012,Cyprus,Albania,4
2012,Cyprus,Estonia,0
2012,Cyprus,Turkey,0
2012,Cyprus,Germany,0
2012,Cyprus,Italy,2
2012,Cyprus,Spain,6
2012,Cyprus,Moldova,0
2012,Cyprus,Romania,3
2012,Cyprus,North Macedonia,0
2012,Cyprus,Lithuania,0
2012,Cyprus,Ukraine,0
2012,Cyprus,Cyprus,0
2012,Cyprus,Greece,12
2012,Cyprus,Bosnia and Herzegovina,0
2012,Cyprus,Republic of Ireland,0
2012,Cyprus,Iceland,1
2012,Cyprus,Malta,0
2012,Cyprus,France,0
2012,Cyprus,Denmark,0
2012,Cyprus,Hungary,0
2012,Cyprus,United Kingdom,0
2012,Cyprus,Norway,0
2013,Cyprus,Denmark,7
2013,Cyprus,Azerbaijan,8
2013,Cyprus,Ukraine,10
2013,Cyprus,Norway,4
2013,Cyprus,Russia,5
2013,Cyprus,Greece,12
2013,Cyprus,Italy,6
2013,Cyprus,Malta,3
2013,Cyprus,Netherlands,0
2013,Cyprus,Hungary,0
2013,Cyprus,Moldova,0
2013,Cyprus,Belgium,0
2013,Cyprus,Romania,0
2013,Cyprus,Sweden,0
2013,Cyprus,Georgia,0
2013,Cyprus,Belarus,0
2013,Cyprus,Iceland,0
2013,Cyprus,Armenia,0
2013,Cyprus,United Kingdom,0
2013,Cyprus,Estonia,0
2013,Cyprus,Germany,0
2013,Cyprus,Lithuania,0
2013,Cyprus,France,1
2013,Cyprus,Finland,0
2013,Cyprus,Spain,0
2013,Cyprus,Republic of Ireland,2
2015,Cyprus,Sweden,10
2015,Cyprus,Russia,5
2015,Cyprus,Italy,12
2015,Cyprus,Belgium,7
2015,Cyprus,Australia,4
2015,Cyprus,Latvia,3
2015,Cyprus,Estonia,2
2015,Cyprus,Norway,0
2015,Cyprus,Israel,6
2015,Cyprus,Serbia,0
2015,Cyprus,Georgia,0
2015,Cyprus,Azerbaijan,0
2015,Cyprus,Montenegro,0
2015,Cyprus,Slovenia,0
2015,Cyprus,Romania,1
2015,Cyprus,Armenia,0
2015,Cyprus,Albania,0
2015,Cyprus,Lithuania,0
2015,Cyprus,Greece,8
2015,Cyprus,Hungary,0
2015,Cyprus,Spain,0
2015,Cyprus,Cyprus,0
2015,Cyprus,Poland,0
2015,Cyprus,United Kingdom,0
2015,Cyprus,France,0
2015,Cyprus,Austria,0
2015,Cyprus,Germany,0
2016,Cyprus,Ukraine,7
2016,Cyprus,Australia,15
2016,Cyprus,Russia,22
2016,Cyprus,Bulgaria,12
2016,Cyprus,Sweden,1
2016,Cyprus,France,13
2016,Cyprus,Armenia,16
2016,Cyprus,Poland,2
2016,Cyprus,Lithuania,3
2016,Cyprus,Belgium,0
2016,Cyprus,Netherlands,0
2016,Cyprus,Malta,6
2016,Cyprus,Austria,0
2016,Cyprus,Israel,5
2016,Cyprus,Latvia,0
2016,Cyprus,Italy,3
2016,Cyprus,Azerbaijan,2
2016,Cyprus,Serbia,0
2016,Cyprus,Hungary,8
2016,Cyprus,Georgia,0
2016,Cyprus,Cyprus,0
2016,Cyprus,Spain,0
2016,Cyprus,Croatia,1
2016,Cyprus,United Kingdom,0
2016,Cyprus,Czech Republic,0
2016,Cyprus,Germany,0
2017,Cyprus,Portugal,15
2017,Cyprus,Bulgaria,17
2017,Cyprus,Moldova,6
2017,Cyprus,Belgium,5
2017,Cyprus,Sweden,11
2017,Cyprus,Italy,18
2017,Cyprus,Romania,4
2017,Cyprus,Hungary,0
2017,Cyprus,Australia,4
2017,Cyprus,Norway,0
2017,Cyprus,Netherlands,0
2017,Cyprus,France,5
2017,Cyprus,Croatia,0
2017,Cyprus,Azerbaijan,1
2017,Cyprus,United Kingdom,5
2017,Cyprus,Austria,0
2017,Cyprus,Belarus,0
2017,Cyprus,Armenia,1
2017,Cyprus,Greece,24
2017,Cyprus,Denmark,0
2017,Cyprus,Cyprus,0
2017,Cyprus,Poland,0
2017,Cyprus,Israel,0
2017,Cyprus,Ukraine,0
2017,Cyprus,Germany,0
2017,Cyprus,Spain,0
2018,Cyprus,Israel,10
2018,Cyprus,Cyprus,0
2018,Cyprus,Austria,2
2018,Cyprus,Germany,3
2018,Cyprus,Italy,15
2018,Cyprus,Czech Republic,13
2018,Cyprus,Sweden,12
2018,Cyprus,Estonia,5
2018,Cyprus,Denmark,0
2018,Cyprus,Moldova,10
2018,Cyprus,Albania,6
2018,Cyprus,Lithuania,6
2018,Cyprus,France,4
2018,Cyprus,Bulgaria,12
2018,Cyprus,Norway,5
2018,Cyprus,Republic of Ireland,0
2018,Cyprus,Ukraine,2
2018,Cyprus,Netherlands,0
2018,Cyprus,Serbia,0
2018,Cyprus,Australia,0
2018,Cyprus,Hungary,4
2018,Cyprus,Slovenia,0
2018,Cyprus,Spain,7
2018,Cyprus,United Kingdom,0
2018,Cyprus,Finland,0
2018,Cyprus,Portugal,0
2019,Cyprus,Netherlands,11
2019,Cyprus,Italy,16
2019,Cyprus,Russia,20
2019,Cyprus,Switzerland,8
2019,Cyprus,Sweden,7
2019,Cyprus,Norway,1
2019,Cyprus,North Macedonia,0
2019,Cyprus,Azerbaijan,6
2019,Cyprus,Australia,2
2019,Cyprus,Iceland,0
2019,Cyprus,Czech Republic,0
2019,Cyprus,Denmark,0
2019,Cyprus,Cyprus,0
2019,Cyprus,Malta,3
2019,Cyprus,Slovenia,0
2019,Cyprus,France,7
2019,Cyprus,Albania,2
2019,Cyprus,Serbia,0
2019,Cyprus,San Marino,0
2019,Cyprus,Estonia,0
2019,Cyprus,Greece,24
2019,Cyprus,Spain,4
2019,Cyprus,Israel,5
2019,Cyprus,Belarus,0
2019,Cyprus,Germany,0
2019,Cyprus,United Kingdom,0
2021,Cyprus,Italy,18
2021,Cyprus,France,15
2021,Cyprus,Switzerland,2
2021,Cyprus,Iceland,0
2021,Cyprus,Ukraine,6
2021,Cyprus,Finland,7
2021,Cyprus,Malta,11
2021,Cyprus,Lithuania,5
2021,Cyprus,Russia,9
2021,Cyprus,Greece,24
2021,Cyprus,Bulgaria,12
2021,Cyprus,Portugal,1
2021,Cyprus,Moldova,0
2021,Cyprus,Sweden,0
2021,Cyprus,Serbia,0
2021,Cyprus,Cyprus,0
2021,Cyprus,Israel,2
2021,Cyprus,Norway,0
2021,Cyprus,Belgium,4
2021,Cyprus,Azerbaijan,0
2021,Cyprus,Albania,0
2021,Cyprus,San Marino,0
2021,Cyprus,Netherlands,0
2021,Cyprus,Spain,0
2021,Cyprus,Germany,0
2021,Cyprus,United Kingdom,0
2022,Cyprus,Ukraine,19
2022,Cyprus,United Kingdom,9
2022,Cyprus,Spain,14
2022,Cyprus,Sweden,5
2022,Cyprus,Serbia,11
2022,Cyprus,Italy,6
2022,Cyprus,Moldova,0
2022,Cyprus,Greece,22
2022,Cyprus,Portugal,0
2022,Cyprus,Norway,0
2022,Cyprus,Netherlands,0
2022,Cyprus,Poland,3
2022,Cyprus,Estonia,0
2022,Cyprus,Lithuania,2
2022,Cyprus,Australia,8
2022,Cyprus,Azerbaijan,10
2022,Cyprus,Switzerland,0
2022,Cyprus,Romania,4
2022,Cyprus,Belgium,2
2022,Cyprus,Armenia,1
2022,Cyprus,Finland,0
2022,Cyprus,Czech Republic,0
2022,Cyprus,Iceland,0
2022,Cyprus,France,0
2022,Cyprus,Germany,0
2023,Cyprus,Sweden,20
2023,Cyprus,Finland,10
2023,Cyprus,Israel,19
2023,Cyprus,Italy,11
2023,Cyprus,Norway,5
2023,Cyprus,Ukraine,10
2023,Cyprus,Belgium,0
2023,Cyprus,Estonia,0
2023,Cyprus,Australia,8
2023,Cyprus,Czech Republic,1
2023,Cyprus,Lithuania,0
2023,Cyprus,Cyprus,0
2023,Cyprus,Croatia,0
2023,Cyprus,Armenia,8
2023,Cyprus,Austria,10
2023,Cyprus,France,3
2023,Cyprus,Spain,6
2023,Cyprus,Moldova,1
2023,Cyprus,Poland,2
2023,Cyprus,Switzerland,2
2023,Cyprus,Slovenia,0
2023,Cyprus,Albania,0
2023,Cyprus,Portugal,0
2023,Cyprus,Serbia,0
2023,Cyprus,United Kingdom,0
2023,Cyprus,Germany,0
2009,Czech Republic,Norway,3
2009,Czech Republic,Iceland,2
2009,Czech Republic,Azerbaijan,10
2009,Czech Republic,Turkey,1
2009,Czech Republic,United Kingdom,6
2009,Czech Republic,Estonia,0
2009,Czech Republic,Greece,0
2009,Czech Republic,France,0
2009,Czech Republic,Bosnia and Herzegovina,0
2009,Czech Republic,Armenia,12
2009,Czech Republic,Russia,8
2009,Czech Republic,Ukraine,5
2009,Czech Republic,Denmark,0
2009,Czech Republic,Moldova,0
2009,Czech Republic,Portugal,7
2009,Czech Republic,Israel,4
2009,Czech Republic,Albania,0
2009,Czech Republic,Croatia,0
2009,Czech Republic,Romania,0
2009,Czech Republic,Germany,0
2009,Czech Republic,Sweden,0
2009,Czech Republic,Malta,0
2009,Czech Republic,Lithuania,0
2009,Czech Republic,Spain,0
2009,Czech Republic,Finland,0
2015,Czech Republic,Sweden,10
2015,Czech Republic,Russia,8
2015,Czech Republic,Italy,7
2015,Czech Republic,Belgium,6
2015,Czech Republic,Australia,0
2015,Czech Republic,Latvia,5
2015,Czech Republic,Estonia,0
2015,Czech Republic,Norway,0
2015,Czech Republic,Israel,0
2015,Czech Republic,Serbia,3
2015,Czech Republic,Georgia,4
2015,Czech Republic,Azerbaijan,12
2015,Czech Republic,Montenegro,0
2015,Czech Republic,Slovenia,0
2015,Czech Republic,Romania,0
2015,Czech Republic,Armenia,2
2015,Czech Republic,Albania,0
2015,Czech Republic,Lithuania,0
2015,Czech Republic,Greece,0
2015,Czech Republic,Hungary,1
2015,Czech Republic,Spain,0
2015,Czech Republic,Cyprus,0
2015,Czech Republic,Poland,0
2015,Czech Republic,United Kingdom,0
2015,Czech Republic,France,0
2015,Czech Republic,Austria,0
2015,Czech Republic,Germany,0
2016,Czech Republic,Ukraine,12
2016,Czech Republic,Australia,1
2016,Czech Republic,Russia,10
2016,Czech Republic,Bulgaria,5
2016,Czech Republic,Sweden,14
2016,Czech Republic,France,5
2016,Czech Republic,Armenia,8
2016,Czech Republic,Poland,7
2016,Czech Republic,Lithuania,3
2016,Czech Republic,Belgium,2
2016,Czech Republic,Netherlands,7
2016,Czech Republic,Malta,6
2016,Czech Republic,Austria,4
2016,Czech Republic,Israel,0
2016,Czech Republic,Latvia,1
2016,Czech Republic,Italy,0
2016,Czech Republic,Azerbaijan,6
2016,Czech Republic,Serbia,0
2016,Czech Republic,Hungary,13
2016,Czech Republic,Georgia,0
2016,Czech Republic,Cyprus,0
2016,Czech Republic,Spain,0
2016,Czech Republic,Croatia,8
2016,Czech Republic,United Kingdom,4
2016,Czech Republic,Czech Republic,0
2016,Czech Republic,Germany,0
2017,Czech Republic,Portugal,20
2017,Czech Republic,Bulgaria,14
2017,Czech Republic,Moldova,8
2017,Czech Republic,Belgium,4
2017,Czech Republic,Sweden,7
2017,Czech Republic,Italy,1
2017,Czech Republic,Romania,6
2017,Czech Republic,Hungary,0
2017,Czech Republic,Australia,10
2017,Czech Republic,Norway,0
2017,Czech Republic,Netherlands,8
2017,Czech Republic,France,0
2017,Czech Republic,Croatia,0
2017,Czech Republic,Azerbaijan,10
2017,Czech Republic,United Kingdom,5
2017,Czech Republic,Austria,4
2017,Czech Republic,Belarus,3
2017,Czech Republic,Armenia,2
2017,Czech Republic,Greece,0
2017,Czech Republic,Denmark,6
2017,Czech Republic,Cyprus,0
2017,Czech Republic,Poland,1
2017,Czech Republic,Israel,0
2017,Czech Republic,Ukraine,7
2017,Czech Republic,Germany,0
2017,Czech Republic,Spain,0
2018,Czech Republic,Israel,22
2018,Czech Republic,Cyprus,8
2018,Czech Republic,Austria,5
2018,Czech Republic,Germany,3
2018,Czech Republic,Italy,2
2018,Czech Republic,Czech Republic,0
2018,Czech Republic,Sweden,8
2018,Czech Republic,Estonia,5
2018,Czech Republic,Denmark,7
2018,Czech Republic,Moldova,6
2018,Czech Republic,Albania,6
2018,Czech Republic,Lithuania,1
2018,Czech Republic,France,0
2018,Czech Republic,Bulgaria,5
2018,Czech Republic,Norway,0
2018,Czech Republic,Republic of Ireland,14
2018,Czech Republic,Ukraine,12
2018,Czech Republic,Netherlands,0
2018,Czech Republic,Serbia,0
2018,Czech Republic,Australia,0
2018,Czech Republic,Hungary,2
2018,Czech Republic,Slovenia,7
2018,Czech Republic,Spain,0
2018,Czech Republic,United Kingdom,0
2018,Czech Republic,Finland,3
2018,Czech Republic,Portugal,0
2019,Czech Republic,Netherlands,10
2019,Czech Republic,Italy,10
2019,Czech Republic,Russia,12
2019,Czech Republic,Switzerland,5
2019,Czech Republic,Sweden,12
2019,Czech Republic,Norway,10
2019,Czech Republic,North Macedonia,7
2019,Czech Republic,Azerbaijan,12
2019,Czech Republic,Australia,8
2019,Czech Republic,Iceland,10
2019,Czech Republic,Czech Republic,0
2019,Czech Republic,Denmark,0
2019,Czech Republic,Cyprus,0
2019,Czech Republic,Malta,3
2019,Czech Republic,Slovenia,10
2019,Czech Republic,France,2
2019,Czech Republic,Albania,0
2019,Czech Republic,Serbia,0
2019,Czech Republic,San Marino,0
2019,Czech Republic,Estonia,2
2019,Czech Republic,Greece,0
2019,Czech Republic,Spain,0
2019,Czech Republic,Israel,3
2019,Czech Republic,Belarus,0
2019,Czech Republic,Germany,0
2019,Czech Republic,United Kingdom,0
2021,Czech Republic,Italy,12
2021,Czech Republic,France,12
2021,Czech Republic,Switzerland,8
2021,Czech Republic,Iceland,15
2021,Czech Republic,Ukraine,10
2021,Czech Republic,Finland,5
2021,Czech Republic,Malta,7
2021,Czech Republic,Lithuania,1
2021,Czech Republic,Russia,7
2021,Czech Republic,Greece,8
2021,Czech Republic,Bulgaria,4
2021,Czech Republic,Portugal,12
2021,Czech Republic,Moldova,12
2021,Czech Republic,Sweden,0
2021,Czech Republic,Serbia,0
2021,Czech Republic,Cyprus,0
2021,Czech Republic,Israel,0
2021,Czech Republic,Norway,0
2021,Czech Republic,Belgium,3
2021,Czech Republic,Azerbaijan,0
2021,Czech Republic,Albania,0
2021,Czech Republic,San Marino,0
2021,Czech Republic,Netherlands,0
2021,Czech Republic,Spain,0
2021,Czech Republic,Germany,0
2021,Czech Republic,United Kingdom,0
2022,Czech Republic,Ukraine,16
2022,Czech Republic,United Kingdom,14
2022,Czech Republic,Spain,13
2022,Czech Republic,Sweden,15
2022,Czech Republic,Serbia,10
2022,Czech Republic,Italy,0
2022,Czech Republic,Moldova,8
2022,Czech Republic,Greece,3
2022,Czech Republic,Portugal,5
2022,Czech Republic,Norway,5
2022,Czech Republic,Netherlands,0
2022,Czech Republic,Poland,7
2022,Czech Republic,Estonia,12
2022,Czech Republic,Lithuania,0
2022,Czech Republic,Australia,1
2022,Czech Republic,Azerbaijan,0
2022,Czech Republic,Switzerland,6
2022,Czech Republic,Romania,0
2022,Czech Republic,Belgium,0
2022,Czech Republic,Armenia,0
2022,Czech Republic,Finland,1
2022,Czech Republic,Czech Republic,0
2022,Czech Republic,Iceland,0
2022,Czech Republic,France,0
2022,Czech Republic,Germany,0
2023,Czech Republic,Sweden,16
2023,Czech Republic,Finland,15
2023,Czech Republic,Israel,8
2023,Czech Republic,Italy,5
2023,Czech Republic,Norway,7
2023,Czech Republic,Ukraine,24
2023,Czech Republic,Belgium,0
2023,Czech Republic,Estonia,2
2023,Czech Republic,Australia,7
2023,Czech Republic,Czech Republic,0
2023,Czech Republic,Lithuania,0
2023,Czech Republic,Cyprus,0
2023,Czech Republic,Croatia,4
2023,Czech Republic,Armenia,10
2023,Czech Republic,Austria,0
2023,Czech Republic,France,0
2023,Czech Republic,Spain,3
2023,Czech Republic,Moldova,5
2023,Czech Republic,Poland,0
2023,Czech Republic,Switzerland,0
2023,Czech Republic,Slovenia,9
2023,Czech Republic,Albania,0
2023,Czech Republic,Portugal,0
2023,Czech Republic,Serbia,0
2023,Czech Republic,United Kingdom,0
2023,Czech Republic,Germany,1
2009,Germany,Norway,12
2009,Germany,Iceland,7
2009,Germany,Azerbaijan,0
2009,Germany,Turkey,10
2009,Germany,United Kingdom,8
2009,Germany,Estonia,1
2009,Germany,Greece,6
2009,Germany,France,3
2009,Germany,Bosnia and Herzegovina,2
2009,Germany,Armenia,0
2009,Germany,Russia,5
2009,Germany,Ukraine,0
2009,Germany,Denmark,0
2009,Germany,Moldova,0
2009,Germany,Portugal,0
2009,Germany,Israel,0
2009,Germany,Albania,0
2009,Germany,Croatia,0
2009,Germany,Romania,0
2009,Germany,Germany,0
2009,Germany,Sweden,0
2009,Germany,Malta,4
2009,Germany,Lithuania,0
2009,Germany,Spain,0
2009,Germany,Finland,0
2010,Germany,Germany,0
2010,Germany,Turkey,10
2010,Germany,Romania,0
2010,Germany,Denmark,0
2010,Germany,Azerbaijan,0
2010,Germany,Belgium,12
2010,Germany,Armenia,7
2010,Germany,Greece,8
2010,Germany,Georgia,0
2010,Germany,Ukraine,0
2010,Germany,Russia,0
2010,Germany,France,3
2010,Germany,Serbia,5
2010,Germany,Israel,0
2010,Germany,Spain,0
2010,Germany,Albania,1
2010,Germany,Bosnia and Herzegovina,0
2010,Germany,Portugal,6
2010,Germany,Iceland,4
2010,Germany,Norway,0
2010,Germany,Cyprus,0
2010,Germany,Moldova,0
2010,Germany,Republic of Ireland,2
2010,Germany,Belarus,0
2010,Germany,United Kingdom,0
2011,Germany,Azerbaijan,0
2011,Germany,Italy,3
2011,Germany,Sweden,0
2011,Germany,Ukraine,0
2011,Germany,Denmark,6
2011,Germany,Bosnia and Herzegovina,7
2011,Germany,Greece,10
2011,Germany,Republic of Ireland,8
2011,Germany,Georgia,0
2011,Germany,Germany,0
2011,Germany,United Kingdom,0
2011,Germany,Moldova,4
2011,Germany,Slovenia,1
2011,Germany,Serbia,0
2011,Germany,France,0
2011,Germany,Russia,5
2011,Germany,Romania,0
2011,Germany,Austria,12
2011,Germany,Lithuania,0
2011,Germany,Iceland,0
2011,Germany,Finland,2
2011,Germany,Hungary,0
2011,Germany,Spain,0
2011,Germany,Estonia,0
2011,Germany,Switzerland,0
2012,Germany,Sweden,12
2012,Germany,Russia,7
2012,Germany,Serbia,10
2012,Germany,Azerbaijan,0
2012,Germany,Albania,6
2012,Germany,Estonia,4
2012,Germany,Turkey,8
2012,Germany,Germany,0
2012,Germany,Italy,2
2012,Germany,Spain,0
2012,Germany,Moldova,0
2012,Germany,Romania,0
2012,Germany,North Macedonia,0
2012,Germany,Lithuania,0
2012,Germany,Ukraine,0
2012,Germany,Cyprus,0
2012,Germany,Greece,1
2012,Germany,Bosnia and Herzegovina,0
2012,Germany,Republic of Ireland,0
2012,Germany,Iceland,3
2012,Germany,Malta,0
2012,Germany,France,0
2012,Germany,Denmark,5
2012,Germany,Hungary,0
2012,Germany,United Kingdom,0
2012,Germany,Norway,0
2013,Germany,Denmark,10
2013,Germany,Azerbaijan,4
2013,Germany,Ukraine,0
2013,Germany,Norway,7
2013,Germany,Russia,2
2013,Germany,Greece,6
2013,Germany,Italy,0
2013,Germany,Malta,5
2013,Germany,Netherlands,0
2013,Germany,Hungary,12
2013,Germany,Moldova,0
2013,Germany,Belgium,0
2013,Germany,Romania,0
2013,Germany,Sweden,3
2013,Germany,Georgia,0
2013,Germany,Belarus,0
2013,Germany,Iceland,8
2013,Germany,Armenia,0
2013,Germany,United Kingdom,0
2013,Germany,Estonia,0
2013,Germany,Germany,0
2013,Germany,Lithuania,0
2013,Germany,France,0
2013,Germany,Finland,1
2013,Germany,Spain,0
2013,Germany,Republic of Ireland,0
2014,Germany,Austria,7
2014,Germany,Netherlands,12
2014,Germany,Sweden,0
2014,Germany,Armenia,6
2014,Germany,Hungary,0
2014,Germany,Ukraine,0
2014,Germany,Russia,0
2014,Germany,Norway,5
2014,Germany,Denmark,8
2014,Germany,Spain,1
2014,Germany,Finland,4
2014,Germany,Romania,0
2014,Germany,Switzerland,3
2014,Germany,Poland,10
2014,Germany,Iceland,2
2014,Germany,Belarus,0
2014,Germany,United Kingdom,0
2014,Germany,Germany,0
2014,Germany,Montenegro,0
2014,Germany,Greece,0
2014,Germany,Italy,0
2014,Germany,Azerbaijan,0
2014,Germany,Malta,0
2014,Germany,San Marino,0
2014,Germany,Slovenia,0
2014,Germany,France,0
2015,Germany,Sweden,10
2015,Germany,Russia,12
2015,Germany,Italy,3
2015,Germany,Belgium,8
2015,Germany,Australia,7
2015,Germany,Latvia,6
2015,Germany,Estonia,2
2015,Germany,Norway,4
2015,Germany,Israel,5
2015,Germany,Serbia,0
2015,Germany,Georgia,0
2015,Germany,Azerbaijan,0
2015,Germany,Montenegro,0
2015,Germany,Slovenia,0
2015,Germany,Romania,0
2015,Germany,Armenia,0
2015,Germany,Albania,0
2015,Germany,Lithuania,0
2015,Germany,Greece,0
2015,Germany,Hungary,1
2015,Germany,Spain,0
2015,Germany,Cyprus,0
2015,Germany,Poland,0
2015,Germany,United Kingdom,0
2015,Germany,France,0
2015,Germany,Austria,0
2015,Germany,Germany,0
2016,Germany,Ukraine,13
